iso_time,topic,payload
2026-04-22T12:05:16.997+02:00,eri/iot/average,0.0006
2026-04-22T12:05:17.343+02:00,eri/iot/pong,954582211
2026-04-22T12:05:28.721+02:00,eri/iot/average,-0.0000
2026-04-22T12:05:29.140+02:00,eri/iot/pong,966218794
2026-04-22T12:05:40.284+02:00,eri/iot/average,-0.0008
2026-04-22T12:05:40.619+02:00,eri/iot/pong,977854764
2026-04-22T12:05:51.882+02:00,eri/iot/average,0.0010
2026-04-22T12:05:52.218+02:00,eri/iot/pong,989490810
2026-04-22T12:06:03.465+02:00,eri/iot/average,0.0003
2026-04-22T12:06:03.866+02:00,eri/iot/pong,1001128786
