iso_time,topic,payload
2026-04-22T11:54:06.863+02:00,eri/iot/average,0.0003
2026-04-22T11:54:07.329+02:00,eri/iot/pong,284331339
2026-04-22T11:54:19.056+02:00,eri/iot/average,0.0002
2026-04-22T11:54:19.774+02:00,eri/iot/pong,295968739
2026-04-22T11:54:30.165+02:00,eri/iot/average,-0.0000
2026-04-22T11:54:31.290+02:00,eri/iot/pong,307604615
2026-04-22T11:54:42.257+02:00,eri/iot/average,-0.0002
2026-04-22T11:54:42.654+02:00,eri/iot/pong,319241757
2026-04-22T11:54:53.458+02:00,eri/iot/average,0.0002
2026-04-22T11:54:54.099+02:00,eri/iot/pong,330877740
