iso_time,dominant_hz,policy_x,fs_hz
2026-05-13T09:05:13.355+02:00,5.02,8.0,40.0
2026-05-13T09:05:19.756+02:00,5.02,8.0,40.0
2026-05-13T09:05:26.157+02:00,5.02,8.0,40.0
2026-05-13T09:05:32.560+02:00,5.02,8.0,40.0
2026-05-13T09:05:38.964+02:00,5.02,8.0,40.0
2026-05-13T09:05:45.367+02:00,5.02,8.0,40.0
2026-05-13T09:05:51.770+02:00,5.02,8.0,40.0
2026-05-13T09:05:58.174+02:00,5.02,8.0,40.0
2026-05-13T09:06:04.576+02:00,5.02,8.0,40.0
2026-05-13T09:06:10.980+02:00,5.02,8.0,40.0
2026-05-13T09:06:17.393+02:00,5.02,8.0,40.0
